Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
E0,15/07/2020,Arsenal,Liverpool,2,1
E0,16/07/2020,Everton,Aston Villa,1,1
E0,16/07/2020,Leicester,Sheffield United,2,0
E0,16/07/2020,Crystal Palace,Man United,0,2
E0,16/07/2020,Southampton,Brighton,1,1
E0,17/07/2020,West Ham,Watford,3,1
E0,18/07/2020,Norwich,Burnley,0,2
E0,19/07/2020,Bournemouth,Southampton,0,2
E0,19/07/2020,Tottenham,Leicester,3,0
E0,20/07/2020,Brighton,Newcastle,0,0
E0,20/07/2020,Sheffield United,Everton,0,1
E0,20/07/2020,Wolves,Crystal Palace,2,0
E0,21/07/2020,Watford,Man City,0,4
E0,21/07/2020,Aston Villa,Arsenal,1,0
E0,22/07/2020,Man United,West Ham,1,1
E0,22/07/2020,Liverpool,Chelsea,5,3
E0,26/07/2020,Arsenal,Watford,3,2
E0,26/07/2020,Burnley,Brighton,1,2
E0,26/07/2020,Chelsea,Wolves,2,0
E0,26/07/2020,Crystal Palace,Tottenham,1,1
E0,26/07/2020,Everton,Bournemouth,1,3
E0,26/07/2020,Leicester,Man United,0,2
E0,26/07/2020,Man City,Norwich,5,0
E0,26/07/2020,Newcastle,Liverpool,1,3
E0,26/07/2020,Southampton,Sheffield United,3,1
E0,26/07/2020,West Ham,Aston Villa,1,1
E2,03/08/2019,AFC Wimbledon,Rotherham,1,2
E2,03/08/2019,Blackpool,Bristol Rvs,2,0
E2,03/08/2019,Burton,Ipswich,0,1
E2,03/08/2019,Coventry,Southend,1,0
E2,03/08/2019,Doncaster,Gillingham,1,1
E2,03/08/2019,Lincoln,Accrington,2,0
E2,03/08/2019,Peterboro,Fleetwood Town,1,3
E2,03/08/2019,Shrewsbury,Portsmouth,1,0
E2,03/08/2019,Sunderland,Oxford,1,1
E2,03/08/2019,Tranmere,Rochdale,2,3
E2,03/08/2019,Wycombe,Bolton,2,0
E2,10/08/2019,Bolton,Coventry,0,0
E2,10/08/2019,Bristol Rvs,Wycombe,0,0
E2,10/08/2019,Fleetwood Town,AFC Wimbledon,2,1
E2,10/08/2019,Gillingham,Burton,1,2
E2,10/08/2019,Ipswich,Sunderland,1,1
E2,10/08/2019,Milton Keynes Dons,Shrewsbury,1,0
E2,10/08/2019,Oxford,Peterboro,1,0
E2,10/08/2019,Portsmouth,Tranmere,2,0
E2,10/08/2019,Rochdale,Doncaster,1,1
E2,10/08/2019,Rotherham,Lincoln,0,2
E2,10/08/2019,Southend,Blackpool,1,3
E2,17/08/2019,Sunderland,Portsmouth,2,1
E2,17/08/2019,AFC Wimbledon,Accrington,1,1
E2,17/08/2019,Blackpool,Oxford,2,1
E2,17/08/2019,Burton,Rotherham,0,1
E2,17/08/2019,Coventry,Bristol Rvs,2,0
E2,17/08/2019,Doncaster,Fleetwood Town,3,2
E2,17/08/2019,Lincoln,Southend,4,0
E2,17/08/2019,Peterboro,Ipswich,2,2
E2,17/08/2019,Shrewsbury,Rochdale,0,0
E2,17/08/2019,Tranmere,Bolton,5,0
E2,17/08/2019,Wycombe,Milton Keynes Dons,3,2
E2,20/08/2019,Accrington,Shrewsbury,2,3
E2,20/08/2019,Bristol Rvs,Tranmere,2,0
E2,20/08/2019,Fleetwood Town,Wycombe,1,1
E2,20/08/2019,Gillingham,Blackpool,2,2
E2,20/08/2019,Ipswich,AFC Wimbledon,2,1
E2,20/08/2019,Milton Keynes Dons,Lincoln,2,1
E2,20/08/2019,Oxford,Burton,2,4
E2,20/08/2019,Portsmouth,Coventry,3,3
E2,20/08/2019,Rochdale,Sunderland,1,2
E2,20/08/2019,Southend,Peterboro,0,2
E2,24/08/2019,Doncaster,Lincoln,2,1
E2,24/08/2019,Bolton,Ipswich,0,5
E2,24/08/2019,Bristol Rvs,Oxford,3,1
E2,24/08/2019,Coventry,Gillingham,1,0
E2,24/08/2019,Fleetwood Town,Accrington,2,0
E2,24/08/2019,Milton Keynes Dons,Peterboro,0,4
E2,24/08/2019,Rochdale,Blackpool,0,0
E2,24/08/2019,Shrewsbury,Burton,0,0
E2,24/08/2019,Sunderland,AFC Wimbledon,3,1
E2,24/08/2019,Wycombe,Southend,4,3
E2,31/08/2019,Accrington,Milton Keynes Dons,2,1
E2,31/08/2019,AFC Wimbledon,Wycombe,0,0
E2,31/08/2019,Blackpool,Portsmouth,1,1
E2,31/08/2019,Burton,Bristol Rvs,2,0
E2,31/08/2019,Gillingham,Bolton,5,0
E2,31/08/2019,Ipswich,Shrewsbury,3,0
E2,31/08/2019,Lincoln,Fleetwood Town,2,0
E2,31/08/2019,Oxford,Coventry,3,3
E2,31/08/2019,Peterboro,Sunderland,3,0
E2,31/08/2019,Rotherham,Tranmere,1,1
E2,31/08/2019,Southend,Rochdale,0,3
E2,07/09/2019,Milton Keynes Dons,AFC Wimbledon,2,1
E2,07/09/2019,Doncaster,Rotherham,2,1
E2,07/09/2019,Bristol Rvs,Accrington,3,3
E2,07/09/2019,Coventry,Blackpool,3,2
E2,07/09/2019,Fleetwood Town,Oxford,2,1
E2,07/09/2019,Tranmere,Gillingham,2,2
E2,07/09/2019,Wycombe,Lincoln,3,1
E2,14/09/2019,Accrington,Sunderland,1,3
E2,14/09/2019,AFC Wimbledon,Shrewsbury,1,1
E2,14/09/2019,Blackpool,Milton Keynes Dons,0,3
E2,14/09/2019,Burton,Coventry,0,0
E2,14/09/2019,Gillingham,Wycombe,2,0
E2,14/09/2019,Ipswich,Doncaster,0,0
E2,14/09/2019,Lincoln,Bristol Rvs,0,1
E2,14/09/2019,Oxford,Tranmere,3,0
E2,14/09/2019,Peterboro,Rochdale,6,0
E2,14/09/2019,Rotherham,Bolton,6,1
E2,14/09/2019,Southend,Fleetwood Town,3,3
E2,17/09/2019,Bristol Rvs,Gillingham,1,1
E2,17/09/2019,Coventry,AFC Wimbledon,2,1
E2,17/09/2019,Doncaster,Blackpool,0,1
E2,17/09/2019,Milton Keynes Dons,Ipswich,0,1
E2,17/09/2019,Portsmouth,Burton,2,2
E2,17/09/2019,Rochdale,Lincoln,1,1
E2,17/09/2019,Shrewsbury,Southend,4,3
E2,17/09/2019,Sunderland,Rotherham,1,1
E2,17/09/2019,Tranmere,Peterboro,2,2
E2,17/09/2019,Wycombe,Accrington,1,1
E2,17/09/2019,Bolton,Oxford,0,0
E2,21/09/2019,Accrington,Blackpool,1,1
E2,21/09/2019,AFC Wimbledon,Bristol Rvs,1,3
E2,21/09/2019,Bolton,Sunderland,1,1
E2,21/09/2019,Doncaster,Peterboro,2,0
E2,21/09/2019,Fleetwood Town,Rochdale,2,1
E2,21/09/2019,Gillingham,Ipswich,0,1
E2,21/09/2019,Lincoln,Oxford,0,6
E2,21/09/2019,Milton Keynes Dons,Southend,0,1
E2,21/09/2019,Rotherham,Shrewsbury,0,0
E2,21/09/2019,Tranmere,Burton,2,1
E2,21/09/2019,Wycombe,Portsmouth,1,0
E2,27/09/2019,Blackpool,Lincoln,2,1
E2,28/09/2019,Bristol Rvs,Rotherham,1,0
E2,28/09/2019,Coventry,Doncaster,1,1
E2,28/09/2019,Ipswich,Tranmere,4,1
E2,28/09/2019,Oxford,Gillingham,3,0
E2,28/09/2019,Peterboro,AFC Wimbledon,3,2
E2,28/09/2019,Portsmouth,Bolton,1,0
E2,28/09/2019,Rochdale,Wycombe,0,3
E2,28/09/2019,Shrewsbury,Fleetwood Town,0,3
E2,28/09/2019,Southend,Accrington,0,1
E2,28/09/2019,Sunderland,Milton Keynes Dons,2,1
E2,05/10/2019,Accrington,Oxford,2,2
E2,05/10/2019,AFC Wimbledon,Rochdale,3,2
E2,05/10/2019,Doncaster,Portsmouth,1,2
E2,05/10/2019,Fleetwood Town,Ipswich,0,1
E2,05/10/2019,Gillingham,Southend,3,1
E2,05/10/2019,Lincoln,Sunderland,2,0
E2,05/10/2019,Milton Keynes Dons,Burton,0,3
E2,05/10/2019,Rotherham,Coventry,4,0
E2,05/10/2019,Tranmere,Shrewsbury,0,1
E2,05/10/2019,Wycombe,Peterboro,3,3
